REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,9332,1,2014,8,6,PTRF,PTRF_DEEP,NA,0.141666667,17.9586766,-67.312791,5012030,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,17.37359944,17.67839943,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9335,1,2014,8,6,PTRF,PTRF_DEEP,NA,0.23125,17.9493126,-67.32704,4867478,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.84959949,16.45919947,10,ORB ANNU,Orbicella annularis,1,0,16,10,11,0,0,N,A
PRICO,9335,1,2014,8,6,PTRF,PTRF_DEEP,NA,0.23125,17.9493126,-67.32704,4867478,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.84959949,16.45919947,10,ORB ANNU,Orbicella annularis,1,0,60,55,35,0,0,N,A
PRICO,9335,1,2014,8,6,PTRF,PTRF_DEEP,NA,0.23125,17.9493126,-67.32704,4867478,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,15.84959949,16.45919947,10,ORB ANNU,Orbicella annularis,1,0,45,40,28,40,0,N,A
PRICO,9338,1,2014,12,2,AGRF,AGRF_SHLW,NA,0.535416667,18.0782617,-65.542159,7197372,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.962399873,6.705599785,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9339,1,2014,12,3,PVMT,PVMT_SHLW,NA,0.204166667,18.0793389,-65.477028,7231920,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.97279965,12.19199961,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9341,1,2014,12,2,AGRF,AGRF_DEEP,NA,0.95,18.0865703,-65.577856,7314290,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,17.37359944,19.50719938,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9343,1,2014,12,1,SCR,SCR_DEEP,NA,0.2,18.0889193,-65.361246,7411097,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,22.55519928,22.55519928,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9345,1,2014,12,2,BDRK,BDRK_SHLW,NA,0.235416667,18.0924643,-65.45459,7438427,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,0.914399971,1.523999951,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9349,1,2014,11,30,AGRF,AGRF_DEEP,NA,0.1625,18.1017557,-65.620033,7534424,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,21.33599932,21.64079931,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9351,1,2014,12,1,PTRF,PTRF_SHLW,NA,0.13125,18.1053964,-65.397708,7651889,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.010399776,8.534399727,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9353,1,2014,12,1,PVMT,PVMT_SHLW,NA,0.19375,18.1090576,-65.400464,7706939,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,2.743199912,3.657599883,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9359,1,2014,11,29,PVMT,PVMT_DEEP,NA,0.141666667,18.3620102,-65.512443,11533083,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.38399922,24.9935992,10,ORB ANNU,Orbicella annularis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9144,1,2014,7,15,AGRF,AGRF_SHLW,NA,0.502083333,17.9422992,-66.024378,5000997,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,2.133599932,3.047999902,10,ORB FAVE,Orbicella faveolata,1,1,NA,NA,NA,NA,NA,NA,NA
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,8,8,1,0,0,T,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,14,8,1,0,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,17,15,1,0,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,22,14,3,0,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,30,25,4,0,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,26,24,7,2,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,78,40,6,15,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,7,6,1,50,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,30,29,2,75,0,N,A
PRICO,9134,1,2014,7,14,PVMT,PVMT_DEEP,NA,0.925,17.8779394,-66.158413,3989061,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,26.51759915,28.0415991,10,ORB FAVE,Orbicella faveolata,1,0,40,29,1,98,0,N,A
PRICO,9135,1,2014,7,17,PVMT,PVMT_DEEP,NA,1.4625,17.8774343,-66.124001,3989134,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.07919923,27.12719913,10,ORB FAVE,Orbicella faveolata,1,0,15,12,3,0,2,N,A
PRICO,9135,1,2014,7,17,PVMT,PVMT_DEEP,NA,1.4625,17.8774343,-66.124001,3989134,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.07919923,27.12719913,10,ORB FAVE,Orbicella faveolata,1,0,23,17,4,0,0,N,A
PRICO,9135,1,2014,7,17,PVMT,PVMT_DEEP,NA,1.4625,17.8774343,-66.124001,3989134,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,24.07919923,27.12719913,10,ORB FAVE,Orbicella faveolata,1,0,17,12,2,80,0,N,A
PRICO,9142,1,2014,7,14,PTRF,PTRF_DEEP,NA,0.254166667,17.9265787,-66.089251,4746226,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,10.05839968,12.4967996,10,ORB FAVE,Orbicella faveolata,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9143,1,2014,7,17,PTRF,PTRF_SHLW,NA,0.141666667,17.9361393,-66.06457,4897682,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,10.66799966,11.58239963,10,ORB FAVE,Orbicella faveolata,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9145,1,2014,7,17,PTRF,PTRF_SHLW,NA,0.354166667,17.9445264,-66.081883,5021521,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,5.791199815,6.705599785,10,ORB FAVE,Orbicella faveolata,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9146,1,2014,7,15,PVMT,PVMT_DEEP,NA,0.3375,17.9489529,-65.987478,5111187,SWPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,18.28799941,23.77439924,10,ORB FAVE,Orbicella faveolata,1,0,15,13,10,0,0,N,A
