"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE"
"PRICO",6056,1,2021,11,2,"AGRF","AGRF_DEEP",NA,NA,0.294666666666667,17.90331,-67.00045,4214381,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",15.23999951232,16.1543994830592,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6057,1,2021,10,18,"PVMT","PVMT_DEEP",NA,NA,0.244,17.90846,-67.27134,4255099,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",18.287999414784,19.2023993855232,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6058,1,2021,9,30,"PVMT","PVMT_DEEP",NA,NA,0.144666666666667,17.89964,-66.48964,4249874,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",10.9727996488704,10.9727996488704,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6060,1,2021,10,18,"PVMT","PVMT_SHLW",NA,NA,0.192666666666667,17.90908,-67.2245,4268962,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",11.8871996196096,12.191999609856,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6065,1,2021,5,28,"PVMT","PVMT_DEEP",NA,NA,0.234,17.91072,-67.05855,4317488,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",15.5447995025664,16.1543994830592,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6068,1,2021,10,7,"AGRF","AGRF_DEEP",NA,NA,0.385333333333333,17.91454,-67.3207,4337578,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",19.2023993855232,20.1167993562624,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6076,1,2021,8,30,"AGRF","AGRF_DEEP",NA,NA,0.33,17.91496,-66.91635,4407255,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",13.4111995708416,14.9351995220736,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6083,1,2021,12,24,"AGRF","AGRF_SHLW",NA,NA,0.837333333333333,17.91282,-66.24285,4505031,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",6.09599980492801,7.01039977566721,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6086,1,2021,5,28,"AGRF","AGRF_DEEP",NA,NA,0.578666666666667,17.92542,-67.0909,4537643,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",12.4967996001024,13.715999561088,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6089,1,2021,5,28,"AGRF","AGRF_DEEP",NA,NA,0.376,17.92716,-67.08344,4565187,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",11.2775996391168,12.4967996001024,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6091,1,2021,9,30,"PVMT","PVMT_SHLW",NA,NA,0.178666666666667,17.92264,-66.48137,4600873,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",7.01039977566721,7.31519976591361,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6097,1,2021,12,24,"PVMT","PVMT_SHLW",NA,NA,0.173333333333333,17.92131,-66.12521,4656684,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",9.14399970739201,9.75359968788481,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6099,1,2021,10,7,"PTRF","PTRF_DEEP",NA,NA,0.14,17.93964,-67.3129,4722986,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",17.0687994537984,18.287999414784,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6100,1,2021,9,30,"AGRF","AGRF_DEEP",NA,NA,0.75,17.93268,-66.63962,4724413,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",15.23999951232,16.1543994830592,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6101,1,2021,10,7,"PTRF","PTRF_DEEP",NA,NA,0.0393333333333333,17.94006,-67.3108,4729873,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",17.6783994342912,18.287999414784,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6103,1,2021,8,30,"AGRF","AGRF_DEEP",NA,NA,0.323333333333333,17.93708,-66.90666,4744493,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",10.667999658624,13.4111995708416,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6104,1,2021,8,30,"AGRF","AGRF_SHLW",NA,NA,0.33,17.93715,-66.90623,4744494,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",7.61999975616001,7.92479974640641,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6107,1,2021,10,7,"AGRF","AGRF_DEEP",NA,NA,0.508666666666667,17.94427,-67.3346,4791760,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",15.8495994928128,17.9831994245376,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6119,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.174666666666667,17.95424,-66.78194,5026919,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",8.22959973665281,9.14399970739201,10,"ACR CERV","Acropora cervicornis",1,0,17,12,7,0,0,"N","A"
"PRICO",6121,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.316666666666667,17.95624,-66.79462,5054420,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.18159983418881,5.79119981468161,10,"ACR CERV","Acropora cervicornis",1,0,17,10,13,10,10,"N","P"
"PRICO",6121,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.316666666666667,17.95624,-66.79462,5054420,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.18159983418881,5.79119981468161,10,"ACR CERV","Acropora cervicornis",1,0,21,12,8,0,0,"N","A"
